Link,Name,Cuisine,Price_4_two,Rating
https://www.swiggy.com/restaurants/venus-donne-biryani-1st-stage-btm-bangalore-42072,Venu's Donne Biryani,Biryani,300,4.3
https://www.swiggy.com/restaurants/punjabi-nawabi-7th-block-koramangala-bangalore-61785,Punjabi Nawabi,"Chinese, North Indian, Punjabi",350,3.7
https://www.swiggy.com/restaurants/sri-udupi-food-hub-bhuvanappa-layout-s-g-palya-bangalore-562239,Sri Udupi Food Hub,"South Indian, North Indian, Chinese, Indian, Ice Cream, Chaat, Beverages, Desser...",200,4.3
https://www.swiggy.com/restaurants/new-alameen-restaurant-bazaar-street-halasuru-bangalore-130367,New Alameen Restaurant,"Biryani, Kerala, Meat, North Indian, South Indian",300,3.9
https://www.swiggy.com/restaurants/basaveshwar-khanavali-residency-road-ashok-nagar-bangalore-642166,Basaveshwar Khanavali,Indian,700,4.5
https://www.swiggy.com/restaurants/hari-super-sandwich-kumara-park-west-seshadripuram-bangalore-503592,Hari Super Sandwich,"Fast Food, Snacks",300,3.8
https://www.swiggy.com/restaurants/royal-biryani-kitchen-1st-stage-btm-layout-bangalore-415042,Royal Biryani Kitchen,"Biryani, Chinese, Tandoor, Snacks, Mughlai",250,3.2
https://www.swiggy.com/restaurants/hotel-revoli-inn-shantinagar-shanti-nagar-bangalore-143934,Hotel Revoli Inn,"Indian, Chinese, Tandoor, South Indian",400,4
https://www.swiggy.com/restaurants/tapas-hideout-hal-2nd-stage-indiranagar-bangalore-253455,TAPAS HIDEOUT,"North Indian, Snacks",300,4.1
https://www.swiggy.com/restaurants/bake-and-juice-sg-palya-tavarekere-bangalore-134415,Bake and Juice,"Biryani, Arabian, Beverages, Indian",300,4
https://www.swiggy.com/restaurants/kanti-sweets-cunningham-road-ashok-nagar-bangalore-69883,Kanti Sweets,Desserts,100,4.6
https://www.swiggy.com/restaurants/burger-it-up-millars-road-vasanth-nagar-bangalore-403216,Burger It Up,"Burgers, Beverages, Desserts, American, Cafe",150,3.2
https://www.swiggy.com/restaurants/carols-pastries-and-bakers-millars-road-vasanth-nagar-bangalore-437003,Carols Pastries & Bakers,"Bakery, Desserts, Sweets",500,4.5
https://www.swiggy.com/restaurants/bombay-borough-woods-street-ashok-nagar-bangalore-465939,Bombay Borough,Indian,900,4.4
https://www.swiggy.com/restaurants/karnataka-donne-biryani-bda-layout-domlur-bangalore-605098,Karnataka Donne Biryani,"Indian, Biryani",300,
https://www.swiggy.com/restaurants/momo-rice-noodles-viveknagar-ejipura-bangalore-51543,Momo Rice Noodles,"Chinese, Thai",350,4.2
https://www.swiggy.com/restaurants/the-biryani-life-residency-road-shantinagar-bangalore-396750,The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",250,4
https://www.swiggy.com/restaurants/mush-cafe-snack-n-sip-byrasandra-jayanagar-bangalore-665181,Mush Cafe - Snack N Sip,"Ice Cream, Beverages, Fast Food",110,
https://www.swiggy.com/restaurants/dawat-durbar-hkp-road-shivajinagar-bangalore-553423,Dawat Durbar,"North Indian, Chinese, Mughlai",200,
